METADATA,mixed-schedule
MONTHLY_MULTIPLIER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OCCUPANCY,APPLIANCES,LIGHTING,SERVERS,WATER,HEATING,COOLING,PROCESSES,ELECTROMOBILITY,DAY,HOUR
0.04,0.15,0.25,0.0,0.18,OFF,OFF,0.0,0.0,WEEKDAY,1
0.0,0.15,0.25,0.0,0.13,OFF,OFF,0.0,0.0,WEEKDAY,2
0.0,0.15,0.25,0.0,0.13,OFF,OFF,0.0,0.0,WEEKDAY,3
0.0,0.15,0.25,0.0,0.01,OFF,OFF,0.0,0.0,WEEKDAY,4
0.0,0.17,0.26,0.0,0.01,OFF,OFF,0.0,0.0,WEEKDAY,5
0.04,0.21,0.29,0.0,0.01,OFF,OFF,0.0,0.0,WEEKDAY,6
0.1,0.22,0.29,0.0,0.01,OFF,SETPOINT,0.0,0.0,WEEKDAY,7
0.38,0.23,0.3,0.0,0.54,OFF,SETPOINT,0.0,0.0,WEEKDAY,8
0.47,0.42,0.61,0.0,0.52,OFF,SETPOINT,0.0,0.0,WEEKDAY,9
0.47,0.44,0.62,0.0,0.44,OFF,SETPOINT,0.0,0.0,WEEKDAY,10
0.29,0.47,0.64,0.0,0.4,OFF,SETPOINT,0.0,0.0,WEEKDAY,11
0.56,0.49,0.65,0.0,0.45,OFF,SETPOINT,0.0,0.0,WEEKDAY,12
0.76,0.45,0.58,0.0,0.43,OFF,SETPOINT,0.0,0.0,WEEKDAY,13
0.73,0.47,0.64,0.0,0.38,OFF,SETPOINT,0.0,0.0,WEEKDAY,14
0.47,0.45,0.63,0.0,0.31,OFF,SETPOINT,0.0,0.0,WEEKDAY,15
0.29,0.45,0.63,0.0,0.3,OFF,SETPOINT,0.0,0.0,WEEKDAY,16
0.34,0.47,0.64,0.0,0.32,OFF,SETPOINT,0.0,0.0,WEEKDAY,17
0.48,0.34,0.4,0.0,0.38,OFF,SETPOINT,0.0,0.0,WEEKDAY,18
0.71,0.29,0.33,0.0,0.5,OFF,SETPOINT,0.0,0.0,WEEKDAY,19
0.71,0.28,0.33,0.0,0.53,OFF,SETPOINT,0.0,0.0,WEEKDAY,20
0.71,0.27,0.32,0.0,0.45,OFF,SETPOINT,0.0,0.0,WEEKDAY,21
0.45,0.25,0.31,0.0,0.48,OFF,SETPOINT,0.0,0.0,WEEKDAY,22
0.31,0.19,0.27,0.0,0.39,OFF,SETPOINT,0.0,0.0,WEEKDAY,23
0.18,0.15,0.25,0.0,0.22,OFF,SETPOINT,0.0,0.0,WEEKDAY,24
0.04,0.12,0.19,0.0,0.18,OFF,OFF,0.0,0.0,SATURDAY,1
0.0,0.11,0.19,0.0,0.13,OFF,OFF,0.0,0.0,SATURDAY,2
0.0,0.12,0.19,0.0,0.13,OFF,OFF,0.0,0.0,SATURDAY,3
0.0,0.11,0.19,0.0,0.01,OFF,OFF,0.0,0.0,SATURDAY,4
0.0,0.13,0.2,0.0,0.01,OFF,OFF,0.0,0.0,SATURDAY,5
0.0,0.18,0.23,0.0,0.01,OFF,OFF,0.0,0.0,SATURDAY,6
0.06,0.22,0.29,0.0,0.01,OFF,SETPOINT,0.0,0.0,SATURDAY,7
0.45,0.23,0.3,0.0,0.02,OFF,SETPOINT,0.0,0.0,SATURDAY,8
0.48,0.29,0.37,0.0,0.02,OFF,SETPOINT,0.0,0.0,SATURDAY,9
0.39,0.31,0.38,0.0,0.46,OFF,SETPOINT,0.0,0.0,SATURDAY,10
0.21,0.34,0.4,0.0,0.41,OFF,SETPOINT,0.0,0.0,SATURDAY,11
0.43,0.36,0.41,0.0,0.46,OFF,SETPOINT,0.0,0.0,SATURDAY,12
0.45,0.3,0.32,0.0,0.45,OFF,SETPOINT,0.0,0.0,SATURDAY,13
0.45,0.28,0.31,0.0,0.41,OFF,SETPOINT,0.0,0.0,SATURDAY,14
0.32,0.27,0.3,0.0,0.36,OFF,SETPOINT,0.0,0.0,SATURDAY,15
0.28,0.27,0.3,0.0,0.36,OFF,SETPOINT,0.0,0.0,SATURDAY,16
0.28,0.29,0.31,0.0,0.32,OFF,SETPOINT,0.0,0.0,SATURDAY,17
0.27,0.27,0.28,0.0,0.35,OFF,SETPOINT,0.0,0.0,SATURDAY,18
0.62,0.26,0.28,0.0,0.48,OFF,SETPOINT,0.0,0.0,SATURDAY,19
0.79,0.25,0.27,0.0,0.48,OFF,SETPOINT,0.0,0.0,SATURDAY,20
0.61,0.23,0.26,0.0,0.44,OFF,SETPOINT,0.0,0.0,SATURDAY,21
0.57,0.22,0.25,0.0,0.48,OFF,SETPOINT,0.0,0.0,SATURDAY,22
0.48,0.16,0.21,0.0,0.35,OFF,SETPOINT,0.0,0.0,SATURDAY,23
0.31,0.12,0.19,0.0,0.26,OFF,SETPOINT,0.0,0.0,SATURDAY,24
0.04,0.12,0.19,0.0,0.22,OFF,OFF,0.0,0.0,SUNDAY,1
0.0,0.11,0.19,0.0,0.18,OFF,OFF,0.0,0.0,SUNDAY,2
0.0,0.12,0.19,0.0,0.18,OFF,OFF,0.0,0.0,SUNDAY,3
0.0,0.11,0.19,0.0,0.01,OFF,OFF,0.0,0.0,SUNDAY,4
0.0,0.13,0.2,0.0,0.01,OFF,OFF,0.0,0.0,SUNDAY,5
0.0,0.18,0.23,0.0,0.01,OFF,OFF,0.0,0.0,SUNDAY,6
0.05,0.19,0.23,0.0,0.01,OFF,SETPOINT,0.0,0.0,SUNDAY,7
0.44,0.2,0.24,0.0,0.01,OFF,SETPOINT,0.0,0.0,SUNDAY,8
0.44,0.22,0.25,0.0,0.01,OFF,SETPOINT,0.0,0.0,SUNDAY,9
0.18,0.24,0.26,0.0,0.01,OFF,SETPOINT,0.0,0.0,SUNDAY,10
0.18,0.27,0.28,0.0,0.43,OFF,SETPOINT,0.0,0.0,SUNDAY,11
0.27,0.29,0.3,0.0,0.43,OFF,SETPOINT,0.0,0.0,SUNDAY,12
0.44,0.28,0.29,0.0,0.35,OFF,SETPOINT,0.0,0.0,SUNDAY,13
0.44,0.27,0.28,0.0,0.35,OFF,SETPOINT,0.0,0.0,SUNDAY,14
0.27,0.25,0.27,0.0,0.26,OFF,SETPOINT,0.0,0.0,SUNDAY,15
0.18,0.25,0.27,0.0,0.26,OFF,SETPOINT,0.0,0.0,SUNDAY,16
0.23,0.27,0.28,0.0,0.26,OFF,SETPOINT,0.0,0.0,SUNDAY,17
0.31,0.27,0.28,0.0,0.35,OFF,SETPOINT,0.0,0.0,SUNDAY,18
0.48,0.26,0.28,0.0,0.43,OFF,SETPOINT,0.0,0.0,SUNDAY,19
0.57,0.25,0.27,0.0,0.43,OFF,SETPOINT,0.0,0.0,SUNDAY,20
0.61,0.23,0.26,0.0,0.35,OFF,SETPOINT,0.0,0.0,SUNDAY,21
0.31,0.22,0.25,0.0,0.44,OFF,SETPOINT,0.0,0.0,SUNDAY,22
0.18,0.16,0.21,0.0,0.35,OFF,SETPOINT,0.0,0.0,SUNDAY,23
0.18,0.12,0.19,0.0,0.18,OFF,SETPOINT,0.0,0.0,SUNDAY,24
