METADATA,mixed-schedule
MONTHLY_MULTIPLIER,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
OCCUPANCY,APPLIANCES,LIGHTING,SERVERS,WATER,HEATING,COOLING,PROCESSES,ELECTROMOBILITY,DAY,HOUR
0.02,0.23,0.33,0.0,0.09,OFF,OFF,0.0,0.0,WEEKDAY,1
0.0,0.23,0.33,0.0,0.07,OFF,OFF,0.0,0.0,WEEKDAY,2
0.0,0.23,0.33,0.0,0.07,OFF,OFF,0.0,0.0,WEEKDAY,3
0.0,0.23,0.33,0.0,0.02,OFF,OFF,0.0,0.0,WEEKDAY,4
0.0,0.24,0.33,0.0,0.02,OFF,OFF,0.0,0.0,WEEKDAY,5
0.02,0.27,0.35,0.0,0.03,OFF,OFF,0.0,0.0,WEEKDAY,6
0.09,0.28,0.35,0.0,0.03,OFF,SETPOINT,0.0,0.0,WEEKDAY,7
0.28,0.29,0.35,0.0,0.28,OFF,SETPOINT,0.0,0.0,WEEKDAY,8
0.64,0.58,0.78,0.0,0.42,OFF,SETPOINT,0.0,0.0,WEEKDAY,9
0.64,0.59,0.79,0.0,0.4,OFF,SETPOINT,0.0,0.0,WEEKDAY,10
0.55,0.62,0.8,0.0,0.38,OFF,SETPOINT,0.0,0.0,WEEKDAY,11
0.69,0.63,0.8,0.0,0.43,OFF,SETPOINT,0.0,0.0,WEEKDAY,12
0.63,0.57,0.72,0.0,0.46,OFF,SETPOINT,0.0,0.0,WEEKDAY,13
0.79,0.61,0.79,0.0,0.43,OFF,SETPOINT,0.0,0.0,WEEKDAY,14
0.64,0.6,0.79,0.0,0.33,OFF,SETPOINT,0.0,0.0,WEEKDAY,15
0.55,0.6,0.79,0.0,0.32,OFF,SETPOINT,0.0,0.0,WEEKDAY,16
0.57,0.62,0.8,0.0,0.37,OFF,SETPOINT,0.0,0.0,WEEKDAY,17
0.4,0.39,0.44,0.0,0.33,OFF,SETPOINT,0.0,0.0,WEEKDAY,18
0.45,0.33,0.37,0.0,0.36,OFF,OFF,0.0,0.0,WEEKDAY,19
0.45,0.32,0.36,0.0,0.35,OFF,OFF,0.0,0.0,WEEKDAY,20
0.45,0.31,0.36,0.0,0.33,OFF,OFF,0.0,0.0,WEEKDAY,21
0.28,0.3,0.36,0.0,0.22,OFF,OFF,0.0,0.0,WEEKDAY,22
0.19,0.26,0.34,0.0,0.17,OFF,OFF,0.0,0.0,WEEKDAY,23
0.12,0.23,0.33,0.0,0.11,OFF,OFF,0.0,0.0,WEEKDAY,24
0.02,0.18,0.26,0.0,0.09,OFF,OFF,0.0,0.0,SATURDAY,1
0.0,0.18,0.26,0.0,0.07,OFF,OFF,0.0,0.0,SATURDAY,2
0.0,0.18,0.26,0.0,0.07,OFF,OFF,0.0,0.0,SATURDAY,3
0.0,0.18,0.26,0.0,0.02,OFF,OFF,0.0,0.0,SATURDAY,4
0.0,0.19,0.26,0.0,0.02,OFF,OFF,0.0,0.0,SATURDAY,5
0.0,0.22,0.27,0.0,0.03,OFF,OFF,0.0,0.0,SATURDAY,6
0.07,0.28,0.35,0.0,0.03,OFF,SETPOINT,0.0,0.0,SATURDAY,7
0.28,0.29,0.35,0.0,0.04,OFF,SETPOINT,0.0,0.0,SATURDAY,8
0.37,0.36,0.43,0.0,0.06,OFF,SETPOINT,0.0,0.0,SATURDAY,9
0.33,0.37,0.43,0.0,0.26,OFF,SETPOINT,0.0,0.0,SATURDAY,10
0.23,0.39,0.44,0.0,0.23,OFF,SETPOINT,0.0,0.0,SATURDAY,11
0.35,0.4,0.45,0.0,0.26,OFF,SETPOINT,0.0,0.0,SATURDAY,12
0.28,0.31,0.34,0.0,0.25,OFF,SETPOINT,0.0,0.0,SATURDAY,13
0.28,0.31,0.33,0.0,0.23,OFF,SETPOINT,0.0,0.0,SATURDAY,14
0.21,0.3,0.33,0.0,0.2,OFF,SETPOINT,0.0,0.0,SATURDAY,15
0.19,0.3,0.33,0.0,0.18,OFF,SETPOINT,0.0,0.0,SATURDAY,16
0.19,0.31,0.33,0.0,0.18,OFF,SETPOINT,0.0,0.0,SATURDAY,17
0.17,0.28,0.3,0.0,0.16,OFF,SETPOINT,0.0,0.0,SATURDAY,18
0.36,0.27,0.29,0.0,0.22,OFF,OFF,0.0,0.0,SATURDAY,19
0.43,0.27,0.29,0.0,0.22,OFF,OFF,0.0,0.0,SATURDAY,20
0.33,0.26,0.29,0.0,0.2,OFF,OFF,0.0,0.0,SATURDAY,21
0.31,0.25,0.28,0.0,0.22,OFF,OFF,0.0,0.0,SATURDAY,22
0.26,0.21,0.27,0.0,0.16,OFF,OFF,0.0,0.0,SATURDAY,23
