,OBJECTID,Area_SVY21,Point_X,Point_Y,Land_Use,Remarks,DMSLat,DMSLon,Building,Distance,Shape_Leng,Shape_Area,Bld_height,Bld_heig_1,Bld_heig_2,Bld_heig_3,Bld_heig_4,geometry
0,1,8604.81216115,103.772088503,1.30176183283,Building,,01 18 06.34260N,103 46 19.51861E,University Cultural Centre,0.0,673.833397059,8604.81216115,0.0,42.38046,28.073474,28.927462,28.927462,"POLYGON ((21124.69539999962 31629.28289999999, 21124.737499999814 31629.169299999252, 21128.791600000113 31630.607499999925, 21131.26649999991 31623.88279999979, 21127.259100000374 31622.365199999884, 21130.533300000243 31613.52999999933, 21133.694500000216 31614.667199999094, 21136.45359999966 31607.271199999377, 21144.08729999978 31610.075200000778, 21153.031200000085 31585.849400000647, 21157.665099999867 31573.357999999076, 21174.50519999955 31567.273199999705, 21191.86969999969 31615.602199999616, 21206.829699999653 31610.254100000486, 21214.582299999893 31607.480200000107, 21250.093600000255 31594.751800000668, 21238.0159 31561.01129999943, 21221.06269999966 31567.079800000414, 21216.966300000437 31555.621400000528, 21212.626000000164 31543.64090000093, 21221.951600000262 31540.29949999973, 21226.11440000031 31552.451899999753, 21226.58449999988 31552.281899999827, 21249.881199999712 31543.855000000447, 21267.401200000197 31537.517699999735, 21258.71150000021 31513.221499999985, 21217.279000000097 31527.991499999538, 21217.3666000003 31528.33640000038, 21208.4271999998 31531.60290000029, 21207.70320000034 31529.82320000045, 21194.094100000337 31534.770700000226, 21193.623700000346 31533.4486999996, 21182.471300000325 31532.988199999556, 21173.655600000173 31533.79350000061, 21167.384899999946 31535.21470000036, 21166.53000000026 31535.408500000834, 21165.715499999933 31535.593100000173, 21162.019899999723 31525.60080000013, 21163.362999999896 31525.11409999989, 21159.242600000463 31513.657099999487, 21145.300499999896 31518.651499999687, 21149.452100000344 31530.155400000513, 21150.79889999982 31529.66310000047, 21154.346199999563 31539.568800000474, 21154.126199999824 31539.650499999523, 21153.258600000292 31540.118400000036, 21145.291600000113 31544.414999999106, 21138.77730000019 31549.050200000405, 21131.343200000003 31555.860799999908, 21131.824000000022 31557.03879999928, 21118.45349999983 31562.166500000283, 21120.270600000396 31567.249399999157, 21120.184100000188 31567.97560000047, 21121.629599999636 31571.92679999955, 21123.238099999726 31572.524800000712, 21113.345700000413 31599.19270000048, 21112.86160000041 31600.497899999842, 21109.740399999544 31608.884800000116, 21109.406399999745 31609.827199999243, 21108.878899999894 31611.39360000007, 21108.623700000346 31612.35830000043, 21108.50519999955 31612.96710000001, 21108.387799999677 31613.957399999723, 21108.348699999973 31614.854000000283, 21108.3964999998 31615.848699999973, 21108.574799999595 31617.118899999186, 21108.807699999772 31618.08660000004, 21109.30950000044 31619.537399999797, 21109.72790000029 31620.43999999948, 21110.382399999537 31621.54409999959, 21110.97310000006 31622.344699999318, 21111.931300000288 31623.40220000036, 21112.68510000035 31624.047000000253, 21115.47520000022 31625.87769999914, 21124.69539999962 31629.28289999999))"
1,2,5936.72714275,103.777688865,1.29708304212,Building,,01 17 49.49895N,103 46 39.67991E,University Hall,5.36036266096,429.662939027,5936.72714275,0.0,63.402751,50.218364,50.772751,46.392751,"POLYGON ((21839.618499999866 31072.962999999523, 21864.17659999989 31064.112199999392, 21838.794700000435 30993.74190000072, 21771.56780000031 31034.498800000176, 21771.060800000094 31034.806199999526, 21765.52720000036 31038.161000000313, 21761.98919999972 31040.305900000036, 21759.922399999574 31041.558900000528, 21758.61730000004 31042.350099999458, 21750.332999999635 31047.37260000035, 21754.727500000037 31054.604599999264, 21756.81219999958 31058.03539999947, 21761.830000000075 31066.293299999088, 21761.919300000183 31066.44030000083, 21762.068599999882 31066.686000000685, 21765.437900000252 31072.23090000078, 21765.442200000398 31072.238099999726, 21774.879800000228 31087.81799999997, 21774.890599999577 31087.835799999535, 21778.03509999998 31093.045399999246, 21783.53000000026 31102.14890000038, 21813.422799999826 31087.22269999981, 21812.196600000374 31082.84589999914, 21839.618499999866 31072.962999999523), (21830.769899999723 31048.433700000867, 21805.268000000156 31057.637499999255, 21800.658900000155 31040.269300000742, 21803.335900000297 31038.649700000882, 21822.95129999984 31026.789799999446, 21830.769899999723 31048.433700000867))"
2,3,4718.28843776,103.774820932,1.2984839479,Building,,01 17 54.54221N,103 46 29.35535E,Yusof Ishak House,0.0,548.537737824,4718.28843776,0.0,58.812346,47.46731,47.656083,44.706647,"POLYGON ((21478.167200000025 31191.394200000912, 21478.159599999897 31191.390599999577, 21465.19000000041 31185.332399999723, 21464.998900000006 31185.243100000545, 21462.23359999992 31190.857200000435, 21456.188199999742 31187.903000000864, 21461.545099999756 31176.898099999875, 21447.71980000008 31170.35850000009, 21442.118499999866 31182.09769999981, 21448.73890000023 31185.23379999958, 21446.618999999948 31190.04409999959, 21426.729399999604 31180.7611999996, 21424.147800000384 31186.29020000063, 21421.82039999962 31191.27459999919, 21419.26339999959 31196.751299999654, 21426.106900000013 31199.969100000337, 21439.433699999936 31206.217700000852, 21442.854600000195 31207.8348999992, 21452.536500000395 31212.412000000477, 21459.27479999978 31215.612999999896, 21464.88549999986 31218.327199999243, 21465.517699999735 31218.63299999945, 21462.844100000337 31224.06509999931, 21476.522300000302 31230.454900000244, 21473.693500000052 31236.378200000152, 21487.038999999873 31242.313899999484, 21493.72860000003 31245.49990000017, 21498.92679999955 31234.41860000044, 21505.583100000396 31237.45910000056, 21513.549999999814 31220.610600000247, 21519.819899999537 31223.58129999973, 21521.303299999796 31227.941800000146, 21520.65160000045 31228.184299999848, 21520.603900000453 31228.050799999386, 21514.32039999962 31230.292899999768, 21516.568799999543 31236.600099999458, 21518.88870000001 31243.107999999076, 21520.06819999963 31246.416799999774, 21526.1464999998 31244.05140000023, 21524.735299999826 31240.08689999953, 21531.957399999723 31237.490700000897, 21529.221300000325 31230.20340000093, 21527.03560000006 31230.98909999989, 21526.40220000036 31229.147700000554, 21529.593000000343 31227.97809999995, 21530.245199999772 31227.73900000006, 21529.816700000316 31226.63819999993, 21528.944799999706 31224.397600000724, 21532.34800000023 31223.117499999702, 21531.01649999991 31219.487500000745, 21531.01070000045 31219.48949999921, 21524.588700000197 31221.773299999535, 21524.48620000016 31220.947200000286, 21515.604299999774 31216.249299999326, 21519.356999999844 31208.33479999937, 21516.443300000392 31214.45969999954, 21520.700299999677 31205.433700000867, 21533.822300000116 31211.890599999577, 21534.153800000437 31211.186200000346, 21542.317200000398 31193.84170000069, 21552.66079999972 31198.669999999925, 21557.50569999963 31188.392599999905, 21526.819000000134 31174.017500000075, 21523.947499999776 31180.114900000393, 21519.04339999985 31190.528200000525, 21499.147800000384 31181.22540000081, 21499.139499999583 31181.241299999878, 21493.98890000023 31192.21729999967, 21487.14159999974 31189.037699999288, 21480.722099999897 31186.03329999931, 21478.167200000025 31191.394200000912))"
3,4,7386.63359617,103.772875535,1.29378812267,Building,,01 17 37.63724N,103 46 22.35193E,Kent Ridge Guild House,0.0,472.108598256,7386.63359617,0.0,43.336176,34.40843,40.372402,40.976176,"POLYGON ((21221.136900000274 30663.92950000055, 21221.902700000443 30664.772800000384, 21214.54889999982 30671.6791999992, 21214.741499999538 30671.870500000194, 21214.84210000001 30671.797100000083, 21217.370199999772 30674.485600000247, 21223.74729999993 30681.267300000414, 21221.859699999914 30683.04590000026, 21222.36730000004 30683.61429999955, 21224.01620000042 30685.398000000045, 21222.926199999638 30686.405700000003, 21230.50800000038 30694.487199999392, 21229.957399999723 30695.05739999935, 21232.801199999638 30697.67080000043, 21242.950100000016 30708.661100000143, 21254.32899999991 30720.9832000006, 21254.78529999964 30721.477399999276, 21254.281600000337 30721.97589999996, 21264.818599999882 30733.21440000087, 21276.352099999785 30745.51590000093, 21285.715300000273 30755.50249999948, 21286.797399999574 30755.533600000665, 21286.819099999964 30755.134199999273, 21293.58459999971 30755.140699999407, 21293.582999999635 30751.746200000867, 21293.585900000297 30748.07349999994, 21293.601900000125 30735.158999999985, 21296.609799999744 30735.18799999915, 21296.615000000224 30733.827899999917, 21296.615600000136 30733.725199999288, 21296.633999999613 30720.299599999562, 21296.648199999705 30715.918299999088, 21293.669200000353 30715.905200000852, 21293.644799999893 30712.275200000033, 21299.381199999712 30712.27459999919, 21300.843100000173 30712.27449999936, 21308.403400000185 30712.27370000072, 21319.667500000447 30712.25259999931, 21319.71150000021 30706.835899999365, 21319.72609999962 30700.17659999989, 21321.48149999976 30700.1604999993, 21321.485000000335 30692.32379999943, 21321.489799999632 30688.488299999386, 21322.534500000067 30688.489600000903, 21322.568799999543 30675.718100000173, 21322.57589999959 30673.0625, 21323.395800000057 30672.2444000002, 21321.993300000206 30670.781500000507, 21319.13040000014 30667.795499999076, 21316.194199999794 30670.55159999989, 21314.59839999955 30672.04949999973, 21309.057799999602 30666.308199999854, 21307.906200000085 30666.322899999097, 21307.90220000036 30660.879200000316, 21303.020899999887 30660.93459999934, 21303.031600000337 30656.666999999434, 21299.311599999666 30656.620899999514, 21299.340800000355 30654.833599999547, 21299.42379999999 30639.332100000232, 21299.432699999772 30637.6632000003, 21283.778400000185 30637.645800000057, 21281.810700000264 30637.78470000066, 21281.83090000041 30638.968599999323, 21279.415199999698 30638.94859999977, 21279.40749999974 30634.030700000003, 21278.07330000028 30634.03280000016, 21278.074099999852 30634.507200000808, 21275.133500000462 30634.506300000474, 21263.048100000247 30634.509999999776, 21263.041600000113 30634.046700000763, 21260.216699999757 30634.041600000113, 21260.22329999972 30634.512900000438, 21259.639999999665 30634.512299999595, 21255.974799999967 30634.5111999996, 21255.83949999977 30636.53309999965, 21252.818300000392 30636.509600000456, 21252.833200000226 30638.35309999995, 21251.520800000057 30638.411499999464, 21251.52969999984 30644.726900000125, 21252.83179999981 30644.725099999458, 21252.843299999833 30652.901300000027, 21251.334900000133 30652.888900000602, 21251.33430000022 30654.683000000194, 21252.83949999977 30654.689699999988, 21252.7882000003 30666.213600000367, 21244.935300000012 30657.866299999878, 21244.879599999636 30651.272900000215, 21246.1743999999 30651.284299999475, 21246.176099999808 30648.148399999365, 21246.408900000155 30648.121700000018, 21246.922399999574 30648.06279999949, 21246.574799999595 30644.596799999475, 21244.906600000337 30644.76080000028, 21245.16359999962 30647.25809999928, 21245.213999999687 30647.748800000176, 21237.606999999844 30647.795299999416, 21234.370099999942 30647.81509999931, 21234.381400000304 30648.024700000882, 21234.428799999878 30648.899800000712, 21230.406299999915 30652.73660000041, 21230.22300000023 30652.911399999633, 21228.852500000037 30651.46710000001, 21224.066499999724 30656.008899999782, 21226.63320000004 30658.713600000367, 21221.136900000274 30663.92950000055))"
4,5,1504.51385887,103.773464568,1.29859896044,Building,,01 17 54.95626N,103 46 24.47245E,Visitor's Lodge,0.0,259.374495897,1504.51385887,0.0,76.766088,46.037769,60.442584,60.442584,"POLYGON ((21344.875500000082 31210.13800000027, 21344.117700000294 31209.780799999833, 21337.77759999968 31206.792600000277, 21344.026499999687 31193.57019999996, 21344.45380000025 31192.6660999991, 21344.45909999963 31192.6548999995, 21344.60589999985 31192.344200000167, 21339.20100000035 31189.748600000516, 21339.059000000358 31190.04900000058, 21338.2416000003 31191.778599999845, 21335.770899999887 31197.006500000134, 21332.479799999855 31195.51149999909, 21330.85049999971 31199.019400000572, 21330.745900000446 31199.24459999986, 21329.96499999985 31198.86920000054, 21329.645899999887 31199.52449999936, 21325.741100000218 31197.685699999332, 21323.61110000033 31196.672199999914, 21318.538999999873 31194.258799999952, 21317.858000000007 31193.928300000727, 21318.153699999675 31193.287799999118, 21316.95660000015 31192.737099999562, 21317.46999999974 31191.576600000262, 21310.014100000262 31188.057800000533, 21309.997899999842 31188.068600000814, 21307.465200000443 31193.49459999986, 21307.34460000042 31193.75290000066, 21307.6063000001 31193.87749999948, 21310.98660000041 31195.487500000745, 21308.44010000024 31200.808599999174, 21310.688699999824 31201.932800000533, 21312.031100000255 31202.603900000453, 21309.512199999765 31207.866399999708, 21316.612099999562 31211.543099999428, 21318.697300000116 31207.90210000053, 21329.23400000017 31212.878699999303, 21324.269999999553 31223.478700000793, 21327.73610000033 31225.438100000843, 21326.308000000194 31229.17699999921, 21329.647900000215 31230.791300000623, 21328.224000000395 31234.49489999935, 21336.00260000024 31238.06790000014, 21337.283400000073 31235.259400000796, 21339.686499999836 31236.384899999946, 21337.075199999847 31241.98870000057, 21341.867700000294 31244.28280000016, 21344.490000000224 31238.69800000079, 21351.66860000044 31242.128900000826, 21353.38030000031 31238.52960000001, 21360.606900000013 31241.927899999544, 21362.281700000167 31238.35309999995, 21365.902900000103 31240.0923999995, 21367.193599999882 31237.434299999848, 21370.276300000027 31230.923699999228, 21362.561599999666 31227.251599999145, 21362.55470000021 31227.248299999163, 21364.673399999738 31223.870200000703, 21357.479600000195 31220.501499999315, 21359.191700000316 31216.88550000079, 21344.875500000082 31210.13800000027))"
5,6,4120.59857772,103.776018244,1.30032320804,Building,,01 18 01.16355N,103 46 33.66568E,SRC2,0.0,353.740424483,4120.59857772,0.0,23.642357,21.451619,22.416483,23.642357,"POLYGON ((21602.417700000107 31436.72210000083, 21632.10059999954 31426.04099999927, 21636.216500000097 31437.479000000283, 21654.1146999998 31431.03849999979, 21686.095900000073 31419.566700000316, 21684.550200000405 31415.189200000837, 21687.055100000463 31414.298699999228, 21677.02450000029 31386.401499999687, 21628.479399999604 31403.833100000396, 21625.281399999745 31404.973699999973, 21587.3013000004 31383.911499999464, 21577.75530000031 31378.753499999642, 21573.345700000413 31376.087400000542, 21569.022499999963 31376.360400000587, 21556.656200000085 31399.022800000384, 21555.54669999983 31401.056099999696, 21580.286999999546 31414.9506000001, 21589.15450000018 31419.930800000206, 21589.677299999632 31418.962999999523, 21603.708200000226 31426.843299999833, 21600.838200000115 31432.995300000533, 21600.615100000054 31433.473500000313, 21598.07899999991 31438.379200000316, 21602.417700000107 31436.72210000083))"
6,7,3307.68695341,103.775324862,1.30106577367,Building,,01 18 03.83679N,103 46 31.16950E,Singapore Wind Tunnel Facility,0.0,283.319233048,3307.68695341,0.0,31.186886,24.651266,26.037432,26.037432,"POLYGON ((21539.775000000373 31532.042099999264, 21545.207899999805 31530.072100000456, 21548.42109999992 31528.91860000044, 21548.7993999999 31529.879000000656, 21551.769500000402 31528.81240000017, 21553.124099999666 31532.585799999535, 21558.1791000003 31530.77170000039, 21558.07600000035 31530.488099999726, 21557.343299999833 31528.47289999947, 21557.283499999903 31528.308499999344, 21558.45399999991 31527.88289999962, 21562.86710000038 31526.27769999951, 21564.781200000085 31525.58149999939, 21563.715300000273 31522.615700000897, 21562.023400000297 31517.90829999931, 21561.234600000083 31515.713600000367, 21558.970800000243 31516.537000000477, 21558.423100000247 31515.006400000304, 21556.158800000325 31508.67970000021, 21566.849299999885 31504.799699999392, 21567.906399999745 31507.739700000733, 21571.814699999988 31518.60869999975, 21580.89690000005 31515.375900000334, 21557.386699999683 31449.949599999934, 21545.746299999766 31453.91559999995, 21511.977699999698 31466.048100000247, 21536.15170000028 31533.32320000045, 21539.775000000373 31532.042099999264))"
7,8,4418.69637358,103.770691097,1.30026630802,Building,,01 18 00.95871N,103 46 14.48795E,EA,5.19887257021,678.917053516,4120.94658674,0.0,61.764489,39.834638,57.113331,57.113332,"POLYGON ((21008.04059999995 31442.88309999928, 21018.62999999989 31439.56839999929, 21022.930499999784 31451.560799999163, 21032.976900000125 31447.984999999404, 21034.60080000013 31447.379699999467, 21035.49189999979 31447.04560000077, 21050.710699999705 31441.612900000066, 21061.371899999678 31437.748999999836, 21057.099399999715 31425.76899999939, 21068.523299999535 31421.68239999935, 21064.770700000226 31411.16029999964, 21066.60340000037 31410.50599999912, 21073.843200000003 31407.92129999958, 21072.64890000038 31404.576300000772, 21065.86980000045 31407.014699999243, 21063.898799999617 31407.723699999973, 21063.91009999998 31407.75520000048, 21056.00789999962 31410.553700000048, 21051.762199999765 31398.403000000864, 21051.403400000185 31397.403100000694, 21051.02219999954 31397.539899999276, 21050.302400000393 31395.534099999815, 21058.318500000052 31392.70399999991, 21061.045699999668 31391.741200000048, 21059.667600000277 31388.037100000307, 21058.744099999778 31388.37260000035, 21057.250500000082 31388.890399999917, 21057.355200000107 31389.568600000814, 21057.356900000013 31389.57550000027, 21049.204499999993 31392.463300000876, 21049.13040000014 31392.270400000736, 21049.508700000122 31392.12519999966, 21049.279099999927 31391.5270000007, 21047.374300000258 31386.199300000444, 21056.746199999936 31366.435699999332, 21050.756500000134 31363.55470000021, 21051.721599999815 31361.45649999939, 21057.753200000152 31364.23090000078, 21058.30999999959 31363.020300000906, 21060.14099999983 31359.262399999425, 21052.941899999976 31355.86950000003, 21054.291899999604 31353.025000000373, 21054.58169999998 31352.414300000295, 21058.232300000265 31344.72240000032, 21058.874300000258 31343.36959999986, 21059.048299999908 31342.995200000703, 21061.667700000107 31337.35830000043, 21061.680200000294 31337.344799999148, 21061.085099999793 31337.060599999502, 21058.411700000055 31335.783600000665, 21058.409099999815 31335.782299999148, 21058.35360000003 31335.89959999919, 21058.334800000302 31335.939300000668, 21058.276399999857 31336.06279999949, 21058.201799999923 31336.22039999999, 21057.822700000368 31337.02170000039, 21057.483000000007 31337.739800000563, 21056.60360000003 31339.598500000313, 21055.936300000176 31341.009099999443, 21054.838600000367 31343.32909999974, 21054.10560000036 31344.878599999472, 21054.036500000395 31345.024800000712, 21053.84200000018 31345.436799999326, 21053.435499999672 31346.297900000587, 21050.074000000022 31353.418199999258, 21049.653599999845 31354.326300000772, 21045.210199999623 31352.221699999645, 21041.83380000014 31359.43219999969, 21035.55150000006 31372.621500000358, 21033.958300000057 31375.985500000417, 21024.598799999803 31371.552799999714, 21011.605499999598 31365.43180000037, 21008.436499999836 31363.90440000035, 21012.81240000017 31354.447100000456, 21015.38549999986 31349.014299999923, 21018.120699999854 31343.287799999118, 21018.31790000014 31342.87240000069, 21023.250500000082 31332.479299999774, 21025.5354000004 31327.455600000918, 21022.368800000288 31325.939099999145, 21022.36419999972 31325.94859999977, 21022.268299999647 31326.143300000578, 21021.765399999917 31327.1632000003, 21021.311400000006 31328.08420000039, 21021.21509999968 31328.27960000001, 21019.920699999668 31330.90509999916, 21014.920099999756 31341.421800000593, 21014.784799999557 31341.70649999939, 21014.470800000243 31342.362099999562, 21011.761500000022 31348.104100000113, 21010.797299999744 31350.241299999878, 21009.599299999885 31352.89690000005, 21005.142099999823 31350.767400000244, 21004.64910000004 31350.53790000081, 20997.880800000392 31347.387800000608, 20996.098600000143 31351.17129999958, 21000.80200000014 31353.425200000405, 21000.2117999997 31354.656899999827, 20999.1958999997 31356.776799999177, 20994.472199999727 31354.560900000855, 20989.01900000032 31366.2368999999, 21003.876299999654 31407.79949999973, 21004.235299999826 31407.67119999975, 21004.610199999996 31408.71990000084, 21006.69550000038 31414.490399999544, 21006.33690000046 31414.63570000045, 21010.672299999744 31426.7611999996, 21003.268299999647 31429.433900000528, 21008.04059999995 31442.88309999928), (21024.642500000075 31416.688500000164, 21018.923100000247 31400.791600000113, 21012.18780000042 31382.00799999945, 21006.892400000244 31367.229000000283, 21032.4104000004 31379.262800000608, 21029.51620000042 31385.322000000626, 21033.181300000288 31395.56010000035, 21038.90450000018 31411.56780000031, 21034.318300000392 31421.226999999955, 21024.642500000075 31416.688500000164))"
8,9,4790.14140305,103.775704427,1.29456353168,Building,,01 17 40.42871N,103 46 32.53594E,Institute of Materials Research and Engineering,0.0,408.045149752,4790.14140305,0.0,59.076349,47.977736,52.955571,54.424961,"POLYGON ((21606.624200000428 30818.958599999547, 21608.047600000165 30813.829600000754, 21606.835400000215 30812.957900000736, 21607.46200000029 30810.56819999963, 21609.256099999882 30811.050899999216, 21614.70590000041 30805.6492999997, 21612.85309999995 30798.85060000047, 21617.89099999983 30793.76669999957, 21615.952399999835 30786.36700000055, 21608.383899999782 30784.293199999258, 21610.810300000012 30775.324899999425, 21618.38860000018 30777.40780000016, 21618.41260000039 30777.382099999115, 21623.81240000017 30771.94339999929, 21621.984400000423 30765.08709999919, 21627.00030000042 30760.044999999925, 21626.984799999744 30759.9916999992, 21624.966699999757 30753.065799999982, 21625.017599999905 30752.84019999951, 21623.656499999575 30752.474999999627, 21623.818300000392 30751.886800000444, 21624.242600000463 30750.344399999827, 21625.305700000376 30749.927899999544, 21625.470999999903 30749.309000000358, 21626.797199999914 30744.34559999965, 21625.538900000043 30743.140799999237, 21624.26609999966 30742.41559999995, 21623.485199999996 30741.97069999948, 21614.889399999753 30739.656899999827, 21616.009499999695 30735.569499999285, 21613.401499999687 30734.12250000052, 21610.88570000045 30732.934100000188, 21612.95399999991 30728.09219999984, 21611.999300000258 30727.678999999538, 21610.00299999956 30726.963199999183, 21609.97609999962 30726.95370000042, 21607.89680000022 30726.337500000373, 21605.8041000003 30725.878599999472, 21603.686599999666 30725.59190000035, 21601.538900000043 30725.39169999957, 21599.37000000011 30725.349300000817, 21597.26640000008 30725.460999999195, 21596.928600000218 30725.507500000298, 21595.270999999717 30725.735899999738, 21594.245799999684 30725.877000000328, 21594.10059999954 30725.89709999971, 21595.248200000264 30731.003799999133, 21592.35280000046 30731.64919999987, 21588.45320000034 30733.21749999933, 21587.319199999794 30733.673499999568, 21583.90789999999 30735.5756000001, 21576.412200000137 30732.001099999994, 21576.36679999996 30732.092900000513, 21575.650799999945 30733.539200000465, 21571.425099999644 30742.074799999595, 21570.333399999887 30744.27979999967, 21569.316300000064 30743.787000000477, 21567.05950000044 30742.69339999929, 21565.253800000064 30743.86969999969, 21560.530899999663 30746.946599999443, 21560.965300000273 30752.458200000226, 21561.145499999635 30754.743699999526, 21563.0083999997 30755.612199999392, 21562.54879999999 30756.55110000074, 21559.409099999815 30762.964299999177, 21558.963100000285 30763.87529999949, 21557.107200000435 30762.991299999878, 21555.844100000337 30763.80430000089, 21550.577499999665 30767.194099999964, 21551.071499999613 30773.254499999806, 21551.208300000057 30774.93209999986, 21553.631500000134 30776.144500000402, 21554.5055999998 30776.581800000742, 21548.39410000015 30789.131100000814, 21546.300699999556 30793.42970000021, 21548.642799999565 30794.58159999922, 21548.692099999636 30794.605799999088, 21552.28780000005 30796.374299999326, 21553.074699999765 30796.76139999926, 21552.57569999993 30797.789999999106, 21552.199199999683 30798.566299999133, 21549.504700000398 30804.120799999684, 21549.232800000347 30804.68150000088, 21551.795300000347 30805.934399999678, 21558.49480000045 30809.210000000894, 21563.966199999675 30811.885099999607, 21565.155799999833 30812.46680000052, 21572.091799999587 30815.85810000077, 21574.22800000012 30816.90249999985, 21574.376500000246 30816.532099999487, 21580.837600000203 30800.417199999094, 21584.454699999653 30802.14719999954, 21584.737399999984 30802.28240000084, 21584.95669999998 30802.387299999595, 21585.172399999574 30801.844499999657, 21586.925800000317 30797.432800000533, 21582.821200000122 30795.469699999318, 21586.597299999557 30786.05169999972, 21597.10620000027 30789.553999999538, 21589.951799999923 30815.971100000665, 21602.542500000447 30819.389000000432, 21603.05999999959 30817.525800000876, 21604.01649999991 30817.791300000623, 21603.857800000347 30818.363299999386, 21604.976499999873 30819.462500000373, 21606.624200000428 30818.958599999547))"
9,10,2311.36556085,103.770212527,1.29533189183,Building,,01 17 43.19481N,103 46 12.76510E,Ventus (UCI),0.0,437.851615908,2311.36556085,0.0,36.692011,31.899352,31.695964,31.695964,"POLYGON ((20996.057900000364 30880.275299999863, 21010.22319999989 30881.826400000602, 21011.58420000039 30869.4319000002, 20995.497800000012 30867.675400000066, 20994.878600000404 30860.528000000864, 21008.460500000045 30860.7631000001, 21008.523799999617 30856.895800000057, 21008.66619999986 30856.895800000057, 21008.7603000002 30852.1576000005, 21008.601400000043 30852.15770000033, 21008.664800000377 30848.29040000029, 20988.330599999987 30847.945000000298, 20988.934299999848 30845.871400000528, 20989.604799999855 30843.9944000002, 20989.608199999668 30843.985899999738, 20989.996299999766 30843.028799999505, 20990.549700000323 30841.784299999475, 20991.953479282063 30839.079894630227, 20993.574599999934 30836.49990000017, 20994.683400000446 30834.80470000021, 20991.483000000007 30836.708000000566, 20989.627928116264 30837.579824736215, 20987.69529999979 30838.262700000778, 20986.73802943919 30838.48297930152, 20985.761552444477 30838.589668454286, 20984.779299999587 30838.58129999973, 20984.556699999608 30838.563300000504, 20983.7459171629 30838.390502170598, 20982.97325278906 30838.090139616816, 20982.258636330364 30837.66995963719, 20981.620500000194 30837.140799999237, 20981.1492999997 30836.61370000057, 20980.974899999797 30836.360899999738, 20980.604199999943 30835.819199999794, 20980.286999999546 30835.355599999428, 20972.20089999959 30823.27930000052, 20969.76649999991 30819.642100000754, 20973.042000000365 30827.844599999487, 20960.28490000032 30826.664599999785, 20948.80190000031 30825.589099999517, 20947.713499999605 30825.487199999392, 20943.646099999547 30825.10620000027, 20943.27969999984 30828.894500000402, 20943.332799999975 30828.966000000015, 20943.031299999915 30832.896199999377, 20942.969299999997 30833.70409999974, 20943.127199999988 30833.72059999965, 20942.826600000262 30837.571399999782, 20964.825299999677 30839.232100000605, 20963.52759999968 30847.520700000226, 20948.67650000006 30847.269600000232, 20948.61429999955 30851.136900000274, 20948.455400000326 30851.136900000274, 20948.376699999906 30855.89149999991, 20948.53560000006 30855.89149999991, 20948.47329999972 30859.758799999952, 20964.480000000447 30860.025399999693, 20963.30750000011 30864.14670000039, 20955.414900000207 30863.276100000367, 20955.003899999894 30867.11150000058, 20954.84499999974 30867.096000000834, 20954.322599999607 30871.83430000022, 20954.48149999976 30871.8507000003, 20954.053999999538 30875.686100000516, 20962.27670000028 30876.583799999207, 20957.510200000368 30879.583699999377, 21000.064299999736 30884.23640000075, 20996.057900000364 30880.275299999863), (20991.61400000006 30867.247800000012, 20990.2034 30867.09019999951, 20989.903199999593 30867.058199999854, 20988.650500000454 30866.91599999927, 20987.853540927397 30863.688522722197, 20987.35039999988 30860.40240000002, 20987.841500000097 30860.417799999937, 20988.142799999565 30860.417700000107, 20991.97809999995 30860.48100000061, 20991.61400000006 30867.247800000012), (20972.43719999958 30865.142999999225, 20971.153599999845 30865.000800000504, 20970.852300000377 30864.968900000677, 20966.82610000018 30864.525800000876, 20967.047199999914 30860.072499999776, 20969.979600000195 30860.1194000002, 20970.280899999663 30860.1194000002, 20974.702300000004 30860.19810000062, 20973.663050731197 30862.713288070823, 20972.43719999958 30865.142999999225), (20973.780799999833 30847.693600000814, 20969.29650000017 30847.614900000393, 20968.995199999772 30847.615000000224, 20967.425800000317 30847.58430000022, 20967.64630000014 30839.45350000076, 20967.868200000376 30839.468900000677, 20968.169499999844 30839.485400000587, 20970.262000000104 30839.642899999395, 20970.54679999966 30839.674799999222, 20975.03220000025 30840.006300000474, 20975.333499999717 30840.03830000013, 20976.490199999884 30840.117499999702, 20976.878994920895 30843.92761273105, 20976.93510000035 30847.757099999115, 20974.082100000232 30847.70900000073, 20973.780799999833 30847.693600000814))"
