,OBJECTID,Area_SVY21,Point_X,Point_Y,Land_Use,Remarks,DMSLat,DMSLon,Building,Distance,Shape_Leng,Shape_Area,Bld_height,Bld_heig_1,Bld_heig_2,Bld_heig_3,Bld_heig_4,Name,REFERENCE,category,floors_ag,floors_bg,height_ag,height_bg
17,8,4418.69637358,103.770691097,1.30026630802,Building,,01 18 00.95871N,103 46 14.48795E,EA,5.19887257021,678.917053516,4120.94658674,0.0,61.764489,39.834638,57.113331,57.113332,B1073,OSM - median values of all buildings,yes,1,1,3,3
312,213,1761.05483594,103.772135391,1.29519220941,Building,,01 17 42.69195N,103 46 19.68741E,AS1,0.0,481.711643239,1761.05487784,0.0,57.644121,39.793466,56.028335,0.0,B1157,OSM - median values of all buildings,yes,1,1,3,3
43,17,2789.85675234,103.771140316,1.29867897734,Building,,01 17 55.24432N,103 46 16.10514E,E1,0.0,442.885857235,2789.85675234,0.0,74.638862,57.129394,67.479094,55.68527,B1079,OSM - median values of all buildings,yes,1,1,3,3
234,166,39.9559269817,103.77911213,1.29465365168,Building,,01 17 40.75315N,103 46 44.80367E,,0.0,25.7643687572,39.9559269817,0.0,68.820415,34.410207,34.410207,0.0,B1288,OSM - median values of all buildings,yes,1,1,3,3
229,160,39.2586321212,103.778173326,1.29432966943,Building,,01 17 39.58681N,103 46 41.42397E,,0.0,25.5094588815,39.2586321212,0.0,0.0,0.0,0.0,0.0,B1273,OSM - median values of all buildings,yes,1,1,3,3
44,17,2789.85675234,103.771140316,1.29867897734,Building,,01 17 55.24432N,103 46 16.10514E,E1,0.0,442.885857235,2789.85675234,0.0,74.638862,57.129394,67.479094,55.68527,B1080,OSM - median values of all buildings,yes,1,1,3,3
246,179,2558.00384559,103.772458869,1.29802036553,Building,,01 17 52.87332N,103 46 20.85193E,E5,0.0,394.405681465,2558.00384559,0.0,71.437798,66.161005,68.592829,68.592829,B1078,OSM - median values of all buildings,yes,1,1,3,3
245,179,2558.00384559,103.772458869,1.29802036553,Building,,01 17 52.87332N,103 46 20.85193E,E5,0.0,394.405681465,2558.00384559,0.0,71.437798,66.161005,68.592829,68.592829,B1062,OSM - median values of all buildings,yes,1,1,3,3
14,8,4418.69637358,103.770691097,1.30026630802,Building,,01 18 00.95871N,103 46 14.48795E,EA,5.19887257021,678.917053516,4120.94658674,0.0,61.764489,39.834638,57.113331,57.113332,B1069,OSM - median values of all buildings,yes,1,1,3,3
73,30,1829.70655579,103.77270916,1.29860664444,Building,,01 17 54.98392N,103 46 21.75298E,E4A,0.0,287.193911571,1829.70655579,0.0,62.134887,36.94878,57.490519,0.0,B1061,OSM - median values of all buildings,yes,1,1,3,3
339,227,1744.94722601,103.775846954,1.29136204259,Building,,01 17 28.90335N,103 46 33.04903E,Sheares Hall Communal Hall,0.0,235.245663243,1744.94722601,0.0,40.730997,15.19125,0.0,0.0,B1298,OSM - median values of all buildings,yes,1,1,3,3
